CourseCode,Course Title,Semester (F/S),type (LEC/TUT/PRA),session,cataglory,Date of the week 1 (1/2/3/4/5),Start time1,end time 1,Date of the week 2 (1/2/3/4/5),Start time2,end time2,Date of the week 3 (1/2/3/4/5),Start time2,end time 2
ECE533H1,Power Electronics: Switch-Mode Power Supplies,S,TUT,1,Energy Systems,2,16,18,,,,,,
ECE533H1,Power Electronics: Switch-Mode Power Supplies,S,PRA,1,Energy Systems,2,9,11,,,,,,
ECE533H1,Power Electronics: Switch-Mode Power Supplies,S,PRA,2,Energy Systems,1,12,14,,,,,,
ECE1059H,Special Topics in Energy Systems: Fundamentals of Power-Flow & Modeling of Electric Power,S,LEC,1,Energy Systems,4,15,17,,,,,,
ECE1066H,Design of High Frequency Switch-Mode Power Supplies I,S,LEC,1,Energy Systems,3,15,18,,,,,,
ECE1085H,Power System Optimization,S,LEC,1,Energy Systems,2,14,16,,,,,,
ECE1092H,Smart Grid Case Studies,S,LEC,1,Energy Systems,5,18,21,2,19,21,,,
ECE1228H,Electromagnetic Theory,F,LEC,1,Photonics,1,12,15,,,,,,
ECE1336H,Semiconductor Physics,F,LEC,1,Photonics,3,15,19,,,,,,
ECE1450H,Ultrafast Photonics,F,LEC,1,Photonics,2,11,12,4,15,17,,,
ECE1461H,Advanced Laser Processing,F,LEC,1,Photonics,5,14,17,,,,,,
ECE1460H,Special Topics in Photonics: Semiconductor Diode Lasers,S,LEC,1,Photonics,3,15,17,,,,,,
ECE1467H,Integrated Optical Circuit Design,S,LEC,1,Photonics,5,9,12,,,,,,
ECE1475H,Bio-Photonics,S,LEC,1,Photonics,4,15,18,,,,,,
ECE557H1,Systems Control,F,LEC,1,Systems Control,1,9,10,3,9,10,5,11,12
ECE557H1,Systems Control,F,TUT,1,Systems Control,5,9,10,,,,,,
ECE557H1,Systems Control,F,PRA,1,Systems Control,3,15,18,,,,,,
ECE557H1,Systems Control,F,PRA,2,Systems Control,2,9,12,,,,,,
ECE1636H,Control of Discrete-Event Systems I,F,LEC,1,Systems Control,4,16,19,,,,,,
ECE1647H,Introduction to Nonlinear Control Systems,F,LEC,1,Systems Control,1,15,17,3,15,17,,,
ECE1657H,Game Theory and Evolutionary Games,F,LEC,1,Systems Control,1,10,12,,,,,,
ECE1637H,Control of Discrete-Event Systems II,S,LEC,1,Systems Control,4,16,19,,,,,,
ECE1656H,Nonlinear Modeling & Analysis of Biological Systems,S,LEC,1,Systems Control,3,15,18,,,,,,
